Date : 2024-09-21 13:28:23
Directory : c:\Users\HP\Desktop\mvp
Total : 219 files,  41675 codes, 337 comments, 1462 blanks, all 43474 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| Frontend\src\renderer\components (Files)                                                   |         11 |      3,781 |          4 |         17 |      3,802 |
| Frontend\src\renderer\components\charts                                                    |          5 |      1,243 |          1 |         45 |      1,289 |
| Frontend\src\renderer\components\datepicker                                                |          4 |      1,691 |          0 |         71 |      1,762 |
| Frontend\src\renderer\components\menu                                                      |          5 |      1,209 |          1 |         27 |      1,237 |
| Frontend\src\renderer\components\modals                                                    |         16 |      3,948 |         79 |         61 |      4,088 |
| Frontend\src\renderer\components\pdf                                                       |          9 |      1,349 |          0 |          9 |      1,358 |
| Frontend\src\renderer\events                                                               |          3 |        122 |          5 |          5 |        132 |
| Frontend\src\renderer\locale                                                               |          1 |        336 |          0 |          1 |        337 |
| Frontend\src\renderer\plugins                                                              |          3 |         65 |          1 |         10 |         76 |
| Frontend\src\renderer\router                                                               |          1 |         81 |          4 |          3 |         88 |
| Frontend\src\renderer\views                                                                |         11 |      7,387 |        100 |         59 |      7,546 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                   | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\HP\Desktop\mvp\Backend\package-lock.json                                          | JSON               |      2,066 |          0 |          1 |      2,067 |
| c:\Users\HP\Desktop\mvp\Backend\package.json                                               | JSON               |         23 |          0 |          1 |         24 |
| c:\Users\HP\Desktop\mvp\Backend\src\app.js                                                 | JavaScript         |         19 |          0 |          4 |         23 |
| c:\Users\HP\Desktop\mvp\Backend\src\connection\fake_meter.js                               | JavaScript         |        220 |          0 |         23 |        243 |
| c:\Users\HP\Desktop\mvp\Backend\src\connection\loop.js                                     | JavaScript         |         36 |          0 |          8 |         44 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\admin\admin.js                              | JavaScript         |         83 |          0 |         14 |         97 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\auth\login.js                               | JavaScript         |        128 |          0 |         28 |        156 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\electricity\calculation_object.js           | JavaScript         |        201 |          0 |         39 |        240 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\electricity\electricity_object.js           | JavaScript         |        297 |          0 |         56 |        353 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\graphics\dashboard.js                       | JavaScript         |         47 |          0 |         10 |         57 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\graphics\data_list.js                       | JavaScript         |        112 |          0 |         19 |        131 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\graphics\graphs_object_data.js              | JavaScript         |         87 |          0 |         15 |        102 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\graphics\vector_diagram.js                  | JavaScript         |         18 |          0 |          4 |         22 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\index.js                                    | JavaScript         |          3 |          0 |          1 |          4 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\meter\meter.js                              | JavaScript         |         86 |          0 |         12 |         98 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\server\billing.js                           | JavaScript         |         24 |          0 |          5 |         29 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\server\check_port.js                        | JavaScript         |         29 |          0 |          6 |         35 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\server\event.js                             | JavaScript         |         70 |          0 |         13 |         83 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\server\folder.js                            | JavaScript         |         96 |          0 |         16 |        112 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\server\gm.js                                | JavaScript         |         39 |          0 |         10 |         49 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\server\journal.js                           | JavaScript         |         29 |          0 |          7 |         36 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\server\license.js                           | JavaScript         |         32 |          0 |          3 |         35 |
| c:\Users\HP\Desktop\mvp\Backend\src\controller\server\send_message.js                      | JavaScript         |         11 |          0 |          4 |         15 |
| c:\Users\HP\Desktop\mvp\Backend\src\global\all_short_name.json                             | JSON               |         58 |          0 |          0 |         58 |
| c:\Users\HP\Desktop\mvp\Backend\src\global\enum.js                                         | JavaScript         |         16 |          0 |          1 |         17 |
| c:\Users\HP\Desktop\mvp\Backend\src\global\file-path.js                                    | JavaScript         |         29 |          0 |          8 |         37 |
| c:\Users\HP\Desktop\mvp\Backend\src\global\meter-list.js                                   | JavaScript         |          2 |          0 |          0 |          2 |
| c:\Users\HP\Desktop\mvp\Backend\src\global\variable.js                                     | JavaScript         |        132 |          0 |          2 |        134 |
| c:\Users\HP\Desktop\mvp\Backend\src\middleware\admin_or_super_token.js                     | JavaScript         |         22 |          0 |          5 |         27 |
| c:\Users\HP\Desktop\mvp\Backend\src\middleware\admin_token.js                              | JavaScript         |         22 |          0 |          5 |         27 |
| c:\Users\HP\Desktop\mvp\Backend\src\middleware\error_handler.js                            | JavaScript         |          4 |          0 |          0 |          4 |
| c:\Users\HP\Desktop\mvp\Backend\src\middleware\logout.js                                   | JavaScript         |         23 |          0 |          5 |         28 |
| c:\Users\HP\Desktop\mvp\Backend\src\middleware\meter_validate.js                           | JavaScript         |         18 |          0 |          1 |         19 |
| c:\Users\HP\Desktop\mvp\Backend\src\middleware\refresh_token.js                            | JavaScript         |         35 |          0 |         10 |         45 |
| c:\Users\HP\Desktop\mvp\Backend\src\middleware\single.js                                   | JavaScript         |         22 |          0 |          5 |         27 |
| c:\Users\HP\Desktop\mvp\Backend\src\middleware\super_token.js                              | JavaScript         |         22 |          0 |          5 |         27 |
| c:\Users\HP\Desktop\mvp\Backend\src\middleware\validate.js                                 | JavaScript         |         18 |          0 |          0 |         18 |
| c:\Users\HP\Desktop\mvp\Backend\src\middleware\validate_query.js                           | JavaScript         |         18 |          0 |          0 |         18 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\admin.js                                        | JavaScript         |         13 |          0 |          2 |         15 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\index.js                                        | JavaScript         |         36 |          0 |          2 |         38 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\objects\calculation_object.js                   | JavaScript         |         26 |          0 |          3 |         29 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\objects\elect_object.js                         | JavaScript         |         28 |          0 |          3 |         31 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\app_log.js                       | JavaScript         |         11 |         22 |          3 |         36 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\archive.js                       | JavaScript         |          9 |          0 |          3 |         12 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\auth.js                          | JavaScript         |         10 |          0 |          3 |         13 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\billing.js                       | JavaScript         |         28 |          0 |          3 |         31 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\current.js                       | JavaScript         |         13 |          0 |          3 |         16 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\event.js                         | JavaScript         |         11 |          0 |          3 |         14 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\feeder.js                        | JavaScript         |         10 |          0 |          3 |         13 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\folder.js                        | JavaScript         |         19 |          0 |          2 |         21 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\journal.js                       | JavaScript         |         18 |          0 |          3 |         21 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\last_current.js                  | JavaScript         |         17 |          0 |          3 |         20 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\last_join.js                     | JavaScript         |         19 |          0 |          3 |         22 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\manual_request.js                | JavaScript         |         73 |          0 |          3 |         76 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\meter.js                         | JavaScript         |        109 |          0 |          3 |        112 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\parameter.js                     | JavaScript         |         29 |          0 |          4 |         33 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\port_errors.js                   | JavaScript         |          5 |          0 |          3 |          8 |
| c:\Users\HP\Desktop\mvp\Backend\src\models\server_request\previous_data.js                 | JavaScript         |         28 |          0 |          3 |         31 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\admin.js                                    | JavaScript         |         49 |          0 |          3 |         52 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\index.js                                    | JavaScript         |         40 |          0 |          2 |         42 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\objects\calculation_object.js               | JavaScript         |      1,141 |          0 |         81 |      1,222 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\objects\elect_object.js                     | JavaScript         |      1,496 |          0 |        116 |      1,612 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\app_log.js                   | JavaScript         |         16 |          0 |          3 |         19 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\archive.js                   | JavaScript         |         37 |          0 |          7 |         44 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\auth.js                      | JavaScript         |         30 |          0 |          4 |         34 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\billing.js                   | JavaScript         |        197 |          0 |         21 |        218 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\current.js                   | JavaScript         |         41 |          0 |          7 |         48 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\event.js                     | JavaScript         |         33 |          0 |          7 |         40 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\feeder.js                    | JavaScript         |         94 |          0 |          7 |        101 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\folder.js                    | JavaScript         |        239 |          0 |         27 |        266 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\gm.js                        | JavaScript         |        219 |          0 |         24 |        243 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\journal.js                   | JavaScript         |        136 |          0 |         17 |        153 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\last_current.js              | JavaScript         |         40 |          0 |          3 |         43 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\last_join.js                 | JavaScript         |         39 |          0 |          5 |         44 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\manual_request.js            | JavaScript         |         38 |          0 |          5 |         43 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\meter.js                     | JavaScript         |        182 |          0 |         16 |        198 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\parameter.js                 | JavaScript         |        171 |          0 |         19 |        190 |
| c:\Users\HP\Desktop\mvp\Backend\src\repository\server_request\previous_data.js             | JavaScript         |         68 |          1 |          7 |         76 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\admin\admin.js                                  | JavaScript         |         12 |          0 |          2 |         14 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\auth\login.js                                   | JavaScript         |         11 |          0 |          2 |         13 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\electricity\calculation_object.js               | JavaScript         |         21 |          0 |          2 |         23 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\electricity\elect_object.js                     | JavaScript         |         23 |          0 |          2 |         25 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\graphics\dashboard.js                           | JavaScript         |         10 |          0 |          2 |         12 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\graphics\graph.js                               | JavaScript         |         15 |          0 |          2 |         17 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\graphics\vector.js                              | JavaScript         |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\index.js                                        | JavaScript         |         38 |          0 |          2 |         40 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\meter\meter.js                                  | JavaScript         |         15 |          0 |          2 |         17 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\server\billing.js                               | JavaScript         |          8 |          0 |          2 |         10 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\server\check_port.js                            | JavaScript         |          5 |          0 |          2 |          7 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\server\events.js                                | JavaScript         |         10 |          0 |          2 |         12 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\server\folder.js                                | JavaScript         |         13 |          0 |          2 |         15 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\server\gm.js                                    | JavaScript         |          5 |          0 |          1 |          6 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\server\journal.js                               | JavaScript         |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\server\license.js                               | JavaScript         |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\mvp\Backend\src\router\server\schema.js                                | JavaScript         |          6 |          0 |          2 |          8 |
| c:\Users\HP\Desktop\mvp\Backend\src\server\CE_308.json                                     | JSON               |         82 |          0 |          1 |         83 |
| c:\Users\HP\Desktop\mvp\Backend\src\server\EX_518.json                                     | JSON               |         74 |          0 |          1 |         75 |
| c:\Users\HP\Desktop\mvp\Backend\src\server\TE_73CAS.json                                   | JSON               |         74 |          0 |          1 |         75 |
| c:\Users\HP\Desktop\mvp\Backend\src\server\format_params.json                              | JSON               |        637 |          0 |          1 |        638 |
| c:\Users\HP\Desktop\mvp\Backend\src\server\meter_list.json                                 | JSON               |          5 |          0 |          0 |          5 |
| c:\Users\HP\Desktop\mvp\Backend\src\utils\connect_db.js                                    | JavaScript         |         14 |          9 |          3 |         26 |
| c:\Users\HP\Desktop\mvp\Backend\src\utils\createsuperadmin.js                              | JavaScript         |         35 |          2 |          8 |         45 |
| c:\Users\HP\Desktop\mvp\Backend\src\utils\custom_error.js                                  | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\HP\Desktop\mvp\Backend\src\utils\formula.js                                       | JavaScript         |        559 |          0 |         19 |        578 |
| c:\Users\HP\Desktop\mvp\Backend\src\utils\killPort.js                                      | JavaScript         |         49 |          0 |         12 |         61 |
| c:\Users\HP\Desktop\mvp\Backend\src\utils\session.js                                       | JavaScript         |         43 |          0 |          6 |         49 |
| c:\Users\HP\Desktop\mvp\Backend\src\utils\sortvalue_bydate.js                              | JavaScript         |        580 |         17 |         86 |        683 |
| c:\Users\HP\Desktop\mvp\Backend\src\utils\total.js                                         | JavaScript         |         61 |          0 |         20 |         81 |
| c:\Users\HP\Desktop\mvp\Backend\src\utils\unique_short-names.js                            | JavaScript         |         39 |          0 |          5 |         44 |
| c:\Users\HP\Desktop\mvp\Backend\src\utils\utils_fn.js                                      | JavaScript         |         50 |          0 |         14 |         64 |
| c:\Users\HP\Desktop\mvp\Backend\src\utils\uuid.js                                          | JavaScript         |          9 |          0 |          1 |         10 |
| c:\Users\HP\Desktop\mvp\Backend\src\validation\admin.js                                    | JavaScript         |         19 |          0 |          3 |         22 |
| c:\Users\HP\Desktop\mvp\Backend\src\validation\billing.js                                  | JavaScript         |         14 |          0 |          4 |         18 |
| c:\Users\HP\Desktop\mvp\Backend\src\validation\calculation_object.js                       | JavaScript         |         10 |          0 |          3 |         13 |
| c:\Users\HP\Desktop\mvp\Backend\src\validation\dashboard.js                                | JavaScript         |          8 |          0 |          2 |         10 |
| c:\Users\HP\Desktop\mvp\Backend\src\validation\elect_object.js                             | JavaScript         |         58 |          0 |          8 |         66 |
| c:\Users\HP\Desktop\mvp\Backend\src\validation\events.js                                   | JavaScript         |          7 |          0 |          2 |          9 |
| c:\Users\HP\Desktop\mvp\Backend\src\validation\folder.js                                   | JavaScript         |         11 |          0 |          3 |         14 |
| c:\Users\HP\Desktop\mvp\Backend\src\validation\graph.js                                    | JavaScript         |         28 |          0 |          5 |         33 |
| c:\Users\HP\Desktop\mvp\Backend\src\validation\meter.js                                    | JavaScript         |         90 |          0 |          9 |         99 |
| c:\Users\HP\Desktop\mvp\Frontend\.env                                                      | Properties         |          2 |          0 |          0 |          2 |
| c:\Users\HP\Desktop\mvp\Frontend\README.md                                                 | Markdown           |         19 |          0 |          6 |         25 |
| c:\Users\HP\Desktop\mvp\Frontend\babel.config.js                                           | JavaScript         |         12 |          0 |          1 |         13 |
| c:\Users\HP\Desktop\mvp\Frontend\errors.json                                               | JSON               |          7 |          0 |          0 |          7 |
| c:\Users\HP\Desktop\mvp\Frontend\journal.json                                              | JSON               |        258 |          0 |          0 |        258 |
| c:\Users\HP\Desktop\mvp\Frontend\jsconfig.json                                             | JSON with Comments |         17 |          0 |          2 |         19 |
| c:\Users\HP\Desktop\mvp\Frontend\package.json                                              | JSON               |         70 |          0 |          1 |         71 |
| c:\Users\HP\Desktop\mvp\Frontend\public\index.html                                         | HTML               |         16 |          1 |          1 |         18 |
| c:\Users\HP\Desktop\mvp\Frontend\public\power_monitoring.admins.json                       | JSON               |         10 |          0 |          0 |         10 |
| c:\Users\HP\Desktop\mvp\Frontend\public\power_monitoring.calculation_objects.json          | JSON               |        801 |          0 |          0 |        801 |
| c:\Users\HP\Desktop\mvp\Frontend\public\power_monitoring.elect_objects.json                | JSON               |      1,988 |          0 |          0 |      1,988 |
| c:\Users\HP\Desktop\mvp\Frontend\public\power_monitoring.factories.json                    | JSON               |          6 |          0 |          0 |          6 |
| c:\Users\HP\Desktop\mvp\Frontend\public\power_monitoring.meters.json                       | JSON               |         13 |          0 |          0 |         13 |
| c:\Users\HP\Desktop\mvp\Frontend\public\power_monitoring.parameters.json                   | JSON               |        480 |          0 |          0 |        480 |
| c:\Users\HP\Desktop\mvp\Frontend\src\App.vue                                               | vue                |        141 |          0 |          4 |        145 |
| c:\Users\HP\Desktop\mvp\Frontend\src\background.js                                         | JavaScript         |        211 |         18 |         21 |        250 |
| c:\Users\HP\Desktop\mvp\Frontend\src\main.js                                               | JavaScript         |         24 |          3 |          2 |         29 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\assets\css\font.css                          | CSS                |         16 |          0 |          2 |         18 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\assets\css\main.css                          | CSS                |      4,418 |         68 |         68 |      4,554 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\assets\sidebar.json                          | JSON               |         83 |          0 |          1 |         84 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\assets\svg\arrR.svg                          | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\assets\svg\arrow-down-w.svg                  | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\assets\svg\arrow-down.svg                    | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\assets\svg\cloud.svg                         | XML                |         34 |          0 |          1 |         35 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\assets\svg\logo.svg                          | XML                |          7 |          0 |          1 |          8 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\assets\svg\logo2.svg                         | XML                |          5 |          0 |          1 |          6 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\assets\svg\meter.svg                         | XML                |          4 |          0 |          1 |          5 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\assets\svg\reload.svg                        | XML                |          3 |          0 |          1 |          4 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\charts\chart-dashboard-yearly.vue | vue                |        221 |          0 |          2 |        223 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\charts\chart-dashboard.vue        | vue                |        208 |          0 |          3 |        211 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\charts\chart-diagram.vue          | vue                |        289 |          0 |         24 |        313 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\charts\chart-line.vue             | vue                |        245 |          1 |          6 |        252 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\charts\chart-lineCurrent.vue      | vue                |        280 |          0 |         10 |        290 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\datepicker\datepicker.vue         | vue                |        584 |          0 |         16 |        600 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\datepicker\datepickerDate.vue     | vue                |        411 |          0 |         20 |        431 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\datepicker\datepickerMonth.vue    | vue                |        330 |          0 |         18 |        348 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\datepicker\datepickerYear.vue     | vue                |        366 |          0 |         17 |        383 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\error.vue                         | vue                |         72 |          3 |          0 |         75 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\icons.vue                         | vue                |        616 |          0 |          7 |        623 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\infoModal.vue                     | vue                |        270 |          0 |          1 |        271 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\menu\TreeParentFiles.vue          | vue                |        161 |          1 |          6 |        168 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\menu\TreeParentFirst.vue          | vue                |        213 |          0 |          5 |        218 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\menu\TreeParentFirst2.vue         | vue                |        231 |          0 |          7 |        238 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\menu\TreeParentFirstReport.vue    | vue                |        171 |          0 |          3 |        174 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\menu\TreeParentSec.vue            | vue                |        433 |          0 |          6 |        439 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalAddTimezone.vue       | vue                |        139 |          9 |          4 |        152 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalAddUser.vue           | vue                |        379 |          9 |          5 |        393 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalBase.vue              | vue                |        105 |          0 |          4 |        109 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalCounter.vue           | vue                |        828 |         24 |          7 |        859 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalEModel.vue            | vue                |        633 |          9 |          1 |        643 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalEModelReport.vue      | vue                |        219 |          9 |          0 |        228 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalFile.vue              | vue                |        130 |          0 |          4 |        134 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalHandleRequest.vue     | vue                |        244 |          0 |          5 |        249 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalLicense.vue           | vue                |        176 |          7 |          3 |        186 |
| c:\Users\HP\Desktop\mvp\Frontend\src\renderer\components\modals\modalLicenseOnline.vue     | vue                |        408 |          0 |         12 |        420 |
